,Symbol,Name,Sector,Clearing Type,Shares,Free Float,Listed In
232,KAPCO,Kot Addu Power Company.,POWER GENERATION & DISTRIBUTION,NC,"880,253,228","456,221,621",ALLSHRKSE100KSE30PSXDIV20
233,KCL,Karam Ceramics Ltd,GLASS & CERAMICS,NC,"14,549,060","727,434",ALLSHRKMIALLSHR
234,KEL,K-Electric Ltd,POWER GENERATION & DISTRIBUTION,NC,"27,615,194,245","2,761,519,425",ALLSHRKMIALLSHRKSE100
235,KHTC,Khyber Tobacco Company.,TOBACCO,NC,"6,922,368","912,402",ALLSHR
236,KHYT,Khyber Textile Mills Ltd,TEXTILE COMPOSITE,NC,"1,227,500","15,248",ALLSHRKMIALLSHR
237,KML,Kohinoor Mills Ltd.,TEXTILE COMPOSITE,NC,"50,911,011","7,636,652",ALLSHR
238,KOHC,Kohat Cement Co. Ltd.,CEMENT,NC,"200,861,297","60,258,389",ALLSHRKMIALLSHRKSE100
239,KOHE,Kohinoor Energy Ltd.,POWER GENERATION & DISTRIBUTION,NC,"169,458,614","67,783,446",ALLSHRKMIALLSHR
240,KOHP,Kohinoor Power Company,POWER GENERATION & DISTRIBUTION,NC,"12,600,000","6,930,000",ALLSHRKMIALLSHR
241,KOHTM,Kohat Textile Mills Ltd.,TEXTILE SPINNING,NC,"20,800,000","5,200,000",ALLSHRKMIALLSHR
242,KOIL,Kohinoor Industries Ltd,TEXTILE COMPOSITE,NC,"30,302,580","16,666,399",ALLSHR
243,KOSM,Kohinoor Spinning Mills Ltd,TEXTILE SPINNING,NC,"215,714,285","129,428,571",ALLSHR
244,KPUS,Khairpur Sugar Mills Ltd,SUGAR & ALLIED INDUSTRIES,NC,"16,017,500","800,875",ALLSHR
245,KSBP,K.S.B.Pumps Company Ltd.,ENGINEERING,NC,"13,200,000","5,300,919",ALLSHRKMIALLSHR
246,KTML,Kohinoor Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"299,296,456","74,824,114",ALLSHRKMIALLSHRKSE100
247,LCI,Lucky Core Ind. Ltd.,CHEMICAL,NC,"92,359,050","13,853,858",ALLSHRKMIALLSHRKSE100
248,LEUL,Leather-Up Ltd,LEATHER & TANNERIES,NC,"6,000,000","1,769,200",ALLSHRKMIALLSHR
249,LOADS,Loads Limited,AUTOMOBILE PARTS & ACCESSORIES,NC,"251,250,000","125,625,000",ALLSHR
250,LOTCHEM,Lotte Chemical Pakistan Ltd.,CHEMICAL,NC,"1,514,207,200","227,131,081",ALLSHRKMI30KMIALLSHRKSE100PSXDIV20
251,LPGL,Leiner Pak Gelatine Ltd,CHEMICAL,NC,"7,500,000","1,500,000",ALLSHRKMIALLSHR
252,LPL,Lalpir Power Ltd.,POWER GENERATION & DISTRIBUTION,NC,"379,838,732","151,935,493",ALLSHRKMIALLSHRPSXDIV20
253,LSEPL,LSE Proptech Ltd.,TECHNOLOGY & COMMUNICATION,NC,"90,090,731","49,516,717",ALLSHR
254,LSEVL,LSE Ventures Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"179,597,880","116,738,612",ALLSHR
255,LUCK,Lucky Cement Ltd,CEMENT,NC,"313,375,000","109,681,250",ACIALLSHRKMI30KMIALLSHRKSE100KSE30MZNPINBPPGINITPGI
256,MACFL,MACPAC Films Ltd.,MISCELLANEOUS,NC,"59,301,150","20,755,403",ALLSHRKMIALLSHR
257,MACTER,Macter International Ltd.,PHARMACEUTICALS,NC,"45,811,018","16,033,856",ALLSHRKMIALLSHR
258,MARI,Mari Petroleum Co. Ltd.,OIL & GAS EXPLORATION COMPANIES,NC,"133,402,500","26,680,500",ALLSHRKMI30KMIALLSHRKSE100KSE30OGTI
259,MCB,MCB Bank Ltd.,COMMERCIAL BANKS,NC,"1,185,060,006","414,771,002",ALLSHRBKTIKSE100KSE30NITPGIPSXDIV20UPP9
260,MCBAH,MCB-Arif Habib Savings & Inv.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"72,000,000","10,800,000",ALLSHR
261,MDTL,Media Times Ltd,TECHNOLOGY & COMMUNICATION,NC,"178,851,010","116,253,157",ALLSHR
262,MEBL,Meezan Bank Ltd.,COMMERCIAL BANKS,NC,"1,789,624,275","447,406,080",ALLSHRBKTIKMI30KMIALLSHRKSE100KSE30MZNPINBPPGINITPGIUPP9
263,MEHT,Mahmood Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"30,000,040","5,252,340",ALLSHR
264,MERIT,Merit Packaging Ltd.,PAPER & BOARD,NC,"199,958,427","39,991,685",ALLSHRKMIALLSHR
265,META,MetaTech Trading Limited,MISCELLANEOUS,NC,"7,432,425","7,159,320",ALLSHRKMIALLSHR
266,MFFL,Mitchell's Fruit Farms Ltd,FOOD & PERSONAL CARE PRODUCTS,NC,"22,875,000","6,862,500",ALLSHRKMIALLSHR
267,MFL,Matco Foods Limited.,FOOD & PERSONAL CARE PRODUCTS,NC,"122,400,698","30,600,175",ALLSHR
268,MIRKS,Mirpurkhas Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"46,557,891","20,951,050",ALLSHR
269,MLCF,Maple Leaf Cement Factory,CEMENT,NC,"1,073,346,232","483,005,804",ACIALLSHRKMI30KMIALLSHRKSE100MZNPI
270,MODAM,Modaraba Al-Mali.,MODARABAS,NC,"79,423,945","63,539,156",ALLSHRKMIALLSHR
271,MODAMR1,Modaraba Al-Mali(R),MODARABAS,NC,"11,392,970",0,
272,MQTM,Maqbool Textile Mills Ltd.,TEXTILE SPINNING,NC,"18,432,000","4,608,000",ALLSHR
273,MRNS,Mehran Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"74,927,989","18,731,902",ALLSHR
274,MSCL,Metropolitan  Steel Corp.,ENGINEERING,NC,"30,977,500","7,744,400",ALLSHRKMIALLSHR
275,MSOT,Masood Textile Mills,TEXTILE COMPOSITE,NC,"67,500,000","13,500,000",ALLSHR
276,MSOTPS,Masood Textile Mills  Preference.,TEXTILE COMPOSITE,NC,"27,500,000","27,500,000",ALLSHR
277,MTL,Millat Tractors Ltd.,AUTOMOBILE ASSEMBLER,NC,"191,798,229","86,309,203",ALLSHRJSMFIKMI30KMIALLSHRKSE100KSE30
278,MUGHAL,Mughal Iron & Steel Industries.,ENGINEERING,NC,"335,633,933","83,908,483",ACIALLSHRKMIALLSHRKSE100
279,MUREB,Murree Brewery Company.,FOOD & PERSONAL CARE PRODUCTS,NC,"27,663,631","11,065,452",ALLSHRKSE100
280,MZNPETF,Meezan Pakistan.,EXCHANGE TRADED FUNDS,NC,"8,340,000","8,830,000",
281,NAGC,Nagina Cotton Mills Ltd.,TEXTILE SPINNING,NC,"18,700,000","1,870,000",ALLSHR
282,NATF,National Foods Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"233,115,250","69,934,628",ALLSHRKSE100
283,NATM,Nadeem Textile Mills Ltd.,TEXTILE SPINNING,NC,"21,266,735","1,063,337",ALLSHRKMIALLSHR
284,NBP,National Bank of Pakistan.XD,COMMERCIAL BANKS,NC,"2,127,512,862","509,091,871",ALLSHRKSE100
285,NBPGETF,NBP Pakistan Growth XD,EXCHANGE TRADED FUNDS,NC,"5,460,000","5,470,000",
286,NCL,Nishat (Chunian) Ltd.,TEXTILE COMPOSITE,NC,"240,119,029","108,053,563",ACIALLSHRPSXDIV20
287,NCPL,Nishat Chunian Power Ltd.,POWER GENERATION & DISTRIBUTION,NC,"367,346,939","220,408,163",ALLSHRKMIALLSHR
288,NESTLE,Nestle Pakistan Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"45,349,551","4,534,958",ALLSHRKMIALLSHRKSE100
289,NETSOL,NetSol Technologies Ltd,TECHNOLOGY & COMMUNICATION,NC,"89,836,923","26,951,077",ALLSHRKMI30KMIALLSHRKSE30
290,NEXT,Next Capital Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"56,925,000","28,462,500",ALLSHR
291,NICL,Nimir Industrial Chemicals Ltd.,CHEMICAL,NC,"110,590,546","38,706,691",ALLSHR
292,NITGETF,NIT Pakistan Gateway.XD,EXCHANGE TRADED FUNDS,NC,"3,730,000","3,730,000",
293,NML,Nishat Mills Ltd.,TEXTILE COMPOSITE,NC,"351,599,848","140,639,939",ACIALLSHRKMIALLSHRKSE100
294,NONS,Noon Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"16,517,456","4,955,236",ALLSHR
295,NPL,Nishat Power Ltd.,POWER GENERATION & DISTRIBUTION,NC,"354,088,500","159,339,825",ALLSHRPSXDIV20
296,NRL,National Refinery Ltd.,REFINERY,NC,"79,966,560","26,230,266",ALLSHRKMI30KMIALLSHRKSE100KSE30
297,NRSL,Nimir Resins Ltd,CHEMICAL,NC,"141,321,100","42,396,319",ALLSHR
298,NSRM,National Silk & Rayon Mills,SYNTHETIC & RAYON,NC,"15,553,133","777,659",ALLSHRKMIALLSHR
299,OBOY,Oilboy Energy Ltd.,OIL & GAS MARKETING COMPANIES,NC,"25,000,000","16,475,220",ALLSHRKMIALLSHR
300,OCTOPUS,Octopus Digital Ltd.,TECHNOLOGY & COMMUNICATION,NC,"157,262,502","47,178,751",ALLSHR
301,OGDC,Oil & Gas Development Co. Ltd.,OIL & GAS EXPLORATION COMPANIES,NC,"4,300,928,400","645,139,260",ALLSHRJSMFIKMI30KMIALLSHRKSE100KSE30MZNPINBPPGINITPGIOGTI
302,OLPL,OLP Financial Services Pak. Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"175,407,648","87,703,824",ALLSHR
303,OLPM,OLP Modaraba.,MODARABAS,NC,"45,383,530","34,037,648",ALLSHRKMIALLSHR
304,OML,Olympia Mills Limited,TEXTILE SPINNING,NC,"12,000,000","1,200,000",ALLSHRKMIALLSHR
305,ORM,Orient Rental Modaraba.,MODARABAS,NC,"75,000,000","26,250,000",ALLSHRKMIALLSHR
306,OTSU,Otsuka Pakistan Ltd.,PHARMACEUTICALS,NC,"12,100,000","1,815,000",ALLSHR
307,PABC,Pakistan Aluminium Beverage Cans Ltd.,MISCELLANEOUS,NC,"361,108,254","90,277,064",ALLSHRKMIALLSHRKSE100
308,PACE,Pace (Pakistan) Limited,PROPERTY,NC,"278,876,604","209,157,453",ALLSHR
309,PAEL,Pak Elektron Ltd,CABLE & ELECTRICAL GOODS,NC,"856,012,155","428,006,078",ALLSHRKMI30KMIALLSHRKSE100KSE30
310,PAKD,Pak Datacom Ltd.,TECHNOLOGY & COMMUNICATION,NC,"11,859,210","2,964,803",ALLSHRKMIALLSHR
311,PAKL,Pak Leather Crafts,LEATHER & TANNERIES,NC,"3,400,000","1,020,000",ALLSHR
312,PAKOXY,Pakistan Oxygen Ltd.,CHEMICAL,NC,"73,238,198","32,957,215",ALLSHR
313,PAKRI,Pakistan Reinsurance Co. Ltd.,INSURANCE,NC,"900,000,000","225,000,000",ALLSHR
314,PAKT,Pakistan Tobacco Co.,TOBACCO,NC,"255,493,792","12,569,837",ALLSHRKSE100
315,PCAL,Pakistan Cables Ltd.,CABLE & ELECTRICAL GOODS,NC,"49,506,744","14,852,023",ALLSHR
316,PELPS,Pak Elektron Ltd.  Preference,CABLE & ELECTRICAL GOODS,NC,"44,957,592","36,694,083",ALLSHR
317,PGLC,Pak- Gulf Leasing Company.,LEASING COMPANIES,NC,"49,471,110","9,894,222",ALLSHRKSE100
318,PHDL,Pakistan Hotels Developers.,MISCELLANEOUS,NC,"18,000,000","1,800,000",ALLSHRKMIALLSHR
319,PIAA,"P.I.A.C.L.  ""A""",TRANSPORT,NC,"5,233,761,118","188,908,780",ALLSHR
320,PIAB,"P.I.A.C.L  ""B""",TRANSPORT,NC,"1,500,000","2,626",ALLSHR
321,PIBTL,Pakistan Int Bulk Terminal Ltd,TRANSPORT,NC,"1,786,092,772","803,741,747",ALLSHRKMIALLSHRKSE100
322,PICT,Pakistan Int. Container Terminal.,TRANSPORT,NC,"109,153,152","10,915,315",ALLSHRKMIALLSHR
323,PIM,Popular Islamic Modaraba.,MODARABAS,NC,"14,000,000","1,400,000",ALLSHRKMIALLSHR
324,PINL,Premier Insurance Ltd,INSURANCE,NC,"50,565,105","22,754,297",ALLSHR
325,PIOC,Pioneer Cement Ltd,CEMENT,NC,"227,148,793","113,574,397",ALLSHRKMI30KMIALLSHRKSE100
326,PKGP,Pakgen Power Ltd.,POWER GENERATION & DISTRIBUTION,NC,"372,081,591","148,832,636",ALLSHRKMIALLSHR
327,PKGS,Packages Limited.,PAPER & BOARD,NC,"89,379,504","26,813,851",ALLSHRKMIALLSHRKSE100
328,PMI,Prudential Modaraba 1st.,MODARABAS,NC,"129,391,676","71,165,422",ALLSHRKMIALLSHR
329,PMPK,Philip Morris (Pakistan) Ltd.,TOBACCO,NC,"61,580,341","3,079,017",ALLSHR
330,PMRS,Premier Sugar Mills & Distillery Co. Ltd,SUGAR & ALLIED INDUSTRIES,NC,"3,750,000","360,308",ALLSHRKMIALLSHR
331,PNSC,P. N. S. C.,TRANSPORT,NC,"132,063,360","11,695,207",ALLSHRKMIALLSHR
332,POL,Pakistan Oilfields Ltd.,OIL & GAS EXPLORATION COMPANIES,NC,"283,855,104","129,853,985",ALLSHRKSE100KSE30NBPPGINITPGIOGTIPSXDIV20
333,POML,Punjab Oil Mills Ltd.,VANASPATI & ALLIED INDUSTRIES,NC,"7,762,500","3,105,015",ALLSHRKMIALLSHRKSE100
334,POWER,Power Cement Ltd,CEMENT,NC,"1,063,414,434","444,748,195",ALLSHRKMIALLSHR
335,POWERPS,Power Cement Preference,CEMENT,NC,"244,585,320","41,648,655",ALLSHR
336,PPL,Pakistan Petroleum Ltd.,OIL & GAS EXPLORATION COMPANIES,NC,"2,720,967,548","667,864,384",ALLSHRJSMFIKMI30KMIALLSHRKSE100KSE30MZNPINBPPGINITPGIOGTI
337,PPLPS,Pakistan Petroleum (Preference),OIL & GAS EXPLORATION COMPANIES,,0,0,
338,PPP,Pakistan Paper Products Ltd.,PAPER & BOARD,NC,"8,000,000","4,000,000",ALLSHRKMIALLSHR
339,PREMA,At-Tahur Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"218,639,430","54,657,256",ALLSHRKMIALLSHR
340,PRET,Premium Textile Mills Ltd.,TEXTILE SPINNING,NC,"6,163,000","1,848,900",ALLSHR
341,PRL,Pakistan Refinery Ltd,REFINERY,NC,"630,000,000","223,949,388",ALLSHRKMI30KMIALLSHRKSE30
342,PRWM,Prosperity Weaving Mills Ltd.,TEXTILE WEAVING,NC,"18,480,000","2,772,000",ALLSHR
343,PSEL,Pakistan Services Ltd,MISCELLANEOUS,NC,"32,524,250","19,514,502",ALLSHRKMIALLSHRKSE100
344,PSMC,Pak Suzuki Motor Co. Ltd.,AUTOMOBILE ASSEMBLER,NC,"82,299,851","21,804,329",ALLSHRKMIALLSHRKSE100
345,PSO,Pakistan State Oil Co. Ltd.,OIL & GAS MARKETING COMPANIES,NC,"469,473,300","211,262,985",ACIALLSHRJSMFIKMI30KMIALLSHRKSE100KSE30MZNPINBPPGI
346,PSX,Pakistan Stock Exchange Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"801,476,600","480,885,960",ALLSHRKSE100
347,PSYL,Pakistan Synthetics Ltd.,SYNTHETIC & RAYON,NC,"138,699,000","20,804,850",ALLSHRKMIALLSHR
348,PTC,"P.T.C.L. ""A""",TECHNOLOGY & COMMUNICATION,NC,"3,774,000,000","592,185,867",ALLSHRKSE100
349,PTCB,"P.T.C.L. ""B""",TECHNOLOGY & COMMUNICATION,,0,0,
350,PTL,Panther Tyres Ltd.,AUTOMOBILE PARTS & ACCESSORIES,NC,"168,000,000","42,000,000",ALLSHRKMIALLSHR
351,QUET,Quetta Textile Mills Ltd,TEXTILE COMPOSITE,NC,"13,000,000","8,450,000",ALLSHRKMIALLSHR
352,QUICE,Quice Food Industries Ltd,FOOD & PERSONAL CARE PRODUCTS,NC,"98,461,828","68,923,280",ALLSHRKMIALLSHR
353,RCML,Reliance Cottton Spinning.,TEXTILE SPINNING,NC,"10,292,000","1,029,200",ALLSHRKMIALLSHR
354,REDCO,Redco Textiles Ltd,TEXTILE COMPOSITE,NC,"49,292,600","7,274,700",ALLSHR
355,REWM,Reliance Weaving Mills.,TEXTILE COMPOSITE,NC,"30,810,938","6,162,187",ALLSHR
356,RICL,Reliance Insurance Co. Ltd.,INSURANCE,NC,"66,537,948","46,576,564",ALLSHR
357,RMPL,Rafhan Maize Products.,FOOD & PERSONAL CARE PRODUCTS,NC,"9,236,400","774,695",ALLSHRKMIALLSHRKSE100
358,RPL,Roshan Packages Ltd.,PAPER & BOARD,NC,"141,900,000","44,377,142",ALLSHRKMIALLSHR
359,RUPL,Rupali Polyester Ltd.,SYNTHETIC & RAYON,NC,"34,068,500","10,220,554",ALLSHRKMIALLSHR
360,SAIF,Saif Textile Mills Ltd,TEXTILE SPINNING,NC,"26,412,900","13,206,440",ALLSHR
361,SANSM,Sanghar Sugar Mills Ltd,SUGAR & ALLIED INDUSTRIES,NC,"11,946,000","7,167,600",ALLSHRKMIALLSHR
362,SAPL,Sanofi-aventis Pakistan  Ltd.,PHARMACEUTICALS,NC,"9,644,800","964,476",ALLSHRKMIALLSHR
363,SAPT,Sapphire Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"21,689,791","2,168,979",ALLSHR
364,SARC,Sardar Chemical Industries.,CHEMICAL,NC,"6,000,000","3,000,000",ALLSHRKMIALLSHR
365,SASML,Sindh Abadgar's Sugar Mills Ltd,SUGAR & ALLIED INDUSTRIES,NC,"10,425,000","1,563,750",ALLSHRKMIALLSHR
366,SAZEW,Sazgar Engineering Works.,AUTOMOBILE ASSEMBLER,NC,"60,445,961","21,156,087",ACIALLSHRKMIALLSHR
367,SBL,Samba Bank Ltd,COMMERCIAL BANKS,NC,"1,008,238,648","201,647,730",ALLSHR
368,SCBPL,Standard Chartered Bank Ltd.,COMMERCIAL BANKS,NC,"3,871,585,021","193,579,251",ALLSHRKSE100
369,SCL,Shield Corporation Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"3,900,000","195,000",ALLSHRKMIALLSHR
370,SEARL,The Searle Company Ltd.,PHARMACEUTICALS,NC,"390,065,855","175,529,634",ACIALLSHRKMIALLSHRKSE100
371,SEL,Sitara Energy Ltd,POWER GENERATION & DISTRIBUTION,NC,"19,092,000","10,500,600",ALLSHR
372,SEPL,Security Papers Ltd.,PAPER & BOARD,NC,"59,255,985","23,702,394",ALLSHR
373,SERT,Service Textiles Industries Ltd.,TEXTILE SPINNING,NC,"13,787,567","2,068,135",ALLSHRKMIALLSHR
374,SFL,Sapphire Fibres Ltd.,TEXTILE COMPOSITE,NC,"20,671,875","2,067,188",ALLSHRKMIALLSHR
375,SGABL,SG Allied Businesses,SYNTHETIC & RAYON,NC,"15,000,000",0,ALLSHRKMIALLSHR
376,SGF,Service Global Footwear Ltd.,LEATHER & TANNERIES,NC,"205,087,500","41,017,500",ALLSHRKMIALLSHR
377,SGPL,S.G. Power Ltd,POWER GENERATION & DISTRIBUTION,NC,"17,833,200","2,833,080",ALLSHRKMIALLSHR
378,SHCM,Shadman Cotton Mills,TEXTILE SPINNING,NC,"17,636,800","881,836",ALLSHR
379,SHDT,"Shadab Textile Mills Ltd,",TEXTILE SPINNING,NC,"16,600,000","7,470,000",ALLSHRKMIALLSHR
380,SHEL,Shell (Pakistan) Ltd.,OIL & GAS MARKETING COMPANIES,NC,"214,024,662","53,506,166",ALLSHRJSMFIKMI30KMIALLSHRKSE100
381,SHEZ,Shezan International Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"9,663,060","4,348,377",ALLSHRKMIALLSHR
382,SHFA,Shifa International Hospitals Ltd.,MISCELLANEOUS,NC,"63,214,383","28,446,472",ALLSHRKMIALLSHRKSE100
383,SHJS,Shahtaj Sugar Mills Ltd,SUGAR & ALLIED INDUSTRIES,NC,"12,011,200","4,804,438",ALLSHR
384,SHNI,Shaheen Insurance Co. Ltd,INSURANCE,NC,"60,000,000","15,821,019",ALLSHR
385,SHSML,Shahmurad Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"21,118,800","7,391,532",ALLSHRKMIALLSHR
386,SIBL,Security Investment Bank Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"51,433,559","15,430,067",ALLSHR
387,SIEM,Siemens (Pakistan) Engineering.,CABLE & ELECTRICAL GOODS,NC,"8,247,037","2,061,759",ALLSHR
388,SILK,Silkbank Ltd,COMMERCIAL BANKS,NC,"9,081,861,237","3,178,651,433",ALLSHR
389,SINDM,Sindh Modaraba.,MODARABAS,NC,"45,000,000","4,500,000",ALLSHRKMIALLSHR
390,SITC,Sitara Chemical Industries Ltd.,CHEMICAL,NC,"21,429,524","7,500,292",ALLSHRKMIALLSHR
391,SLCPA,Security Leasing Corp.(Pref) 9.1%,LEASING COMPANIES,NC,"11,250,000","11,100,437",ALLSHR
392,SLL,SME Leasing Ltd,LEASING COMPANIES,NC,"32,000,000","9,600,000",ALLSHR
393,SMBL,Summit Bank Ltd,COMMERCIAL BANKS,NC,"6,622,220,576","993,333,086",ALLSHR
394,SMCPL,Safe Mix Concrete Ltd,CEMENT,NC,"25,000,000","5,000,000",ALLSHRKMIALLSHR
395,SNAI,Sana Industries Ltd.,TEXTILE SPINNING,NC,"19,965,000","6,987,750",ALLSHRKMIALLSHR
396,SNBL,Soneri Bank Ltd.,COMMERCIAL BANKS,NC,"1,102,463,503","330,739,044",ALLSHR
397,SNGP,Sui Northern Gas Pipelines.XD,OIL & GAS MARKETING COMPANIES,NC,"634,216,665","285,397,499",ACIALLSHRKMI30KMIALLSHRKSE100KSE30MZNPI
398,SPEL,Synthetic Products Ltd.,MISCELLANEOUS,NC,"199,736,016","49,934,004",ALLSHRKMIALLSHR
399,SPL,Sitara Peroxide Ltd,CHEMICAL,NC,"55,100,000","30,305,000",ALLSHRKMIALLSHR
400,SPWL,Saif Power Ltd.,POWER GENERATION & DISTRIBUTION,NC,"386,471,779","193,235,890",ALLSHR
401,SRVI,Service Industries Ltd.,LEATHER & TANNERIES,NC,"46,987,500","18,794,982",ALLSHRKSE100
402,SSGC,Sui Southern Gas Co. Ltd.,OIL & GAS MARKETING COMPANIES,NC,"880,916,400","336,437,548",ALLSHRKMIALLSHR
403,SSML,Saritow Spinning Mills Ltd,TEXTILE SPINNING,NC,"29,840,607","10,444,212",ALLSHR
404,SSOM,S.S.Oil Mills Ltd.,VANASPATI & ALLIED INDUSTRIES,NC,"5,658,400","1,347,400",ALLSHR
405,STCL,Shabbir Tiles & Ceramics Ltd.,GLASS & CERAMICS,NC,"239,320,475","131,626,261",ALLSHRKMIALLSHR
406,STJT,Shahtaj Textile Limited.,TEXTILE WEAVING,NC,"9,660,000","1,449,000",ALLSHRKMIALLSHR
407,STML,Shams Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"8,640,000","2,160,000",ALLSHRKMIALLSHR
408,STPL,Siddiqsons Tin Plate Ltd,MISCELLANEOUS,NC,"229,278,733","68,783,631",ALLSHRKMIALLSHR
409,SURC,Suraj Cotton Mills Ltd.,TEXTILE COMPOSITE,NC,"44,372,287","8,874,457",ALLSHRKMIALLSHR
410,SUTM,Sunrays Textile Mills Ltd,TEXTILE SPINNING,NC,"20,700,000","2,070,000",ALLSHRKMIALLSHR
411,SYS,Systems Limited.,TECHNOLOGY & COMMUNICATION,NC,"290,407,700","174,154,620",ALLSHRKMI30KMIALLSHRKSE100KSE30MZNPINITPGIUPP9
412,SZTM,Shahzad Textile Mills Ltd,TEXTILE SPINNING,NC,"17,971,372","898,569",ALLSHRKMIALLSHR
413,TATM,Tata Textile Mills Ltd.,TEXTILE SPINNING,NC,"55,993,614","11,198,723",ALLSHR
414,TCORP,Tariq Corporation Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"52,965,000","18,537,750",ALLSHRKMIALLSHR
415,TCORPCPS,Tariq Corporation Ltd. (Preference Shares),SUGAR & ALLIED INDUSTRIES,NC,"14,445,000","2,166,750",ALLSHR
416,TELE,Telecard Limited.,TECHNOLOGY & COMMUNICATION,NC,"338,625,000","325,991,410",ALLSHRKMIALLSHR
417,TGL,Tariq Glass Industries Ltd.,GLASS & CERAMICS,NC,"172,167,188","68,866,875",ALLSHRKMIALLSHRKSE100
418,THALL,Thal Limited.,AUTOMOBILE PARTS & ACCESSORIES,NC,"81,029,917","40,514,955",ALLSHRKMIALLSHRKSE100
419,THCCL,Thatta Cement Co. Ltd.,CEMENT,NC,"99,718,125","49,859,063",ALLSHRKMIALLSHR
420,TICL,Thal Industries Corporation,SUGAR & ALLIED INDUSTRIES,NC,"15,023,200","214,930",ALLSHRKMIALLSHR
421,TOMCL,The Organic Meat Co.Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"134,992,012","60,746,405",ALLSHRKMIALLSHR
422,TOWL,Towellers Limited.,TEXTILE COMPOSITE,NC,"17,000,000","3,400,000",ALLSHRKMIALLSHR
423,TPL,TPL Corp Limited,TECHNOLOGY & COMMUNICATION,NC,"267,297,763","106,919,105",ALLSHRKMIALLSHR
424,TPLI,TPL Insurance Ltd.,INSURANCE,NC,"198,394,462","29,759,169",ALLSHR
425,TPLP,TPL Properties Ltd.,PROPERTY,NC,"569,806,567","227,922,627",ALLSHRJSMFIKMI30KMIALLSHRKSE30
426,TPLT,TPL Trakker Ltd.,TECHNOLOGY & COMMUNICATION,NC,"187,263,093","74,905,237",ALLSHR
427,TREET,Treet Corporation Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"178,721,122","80,424,505",ACIALLSHRKMIALLSHR
428,TRG,TRG Pakistan Ltd.,TECHNOLOGY & COMMUNICATION,NC,"545,390,665","381,773,466",ALLSHRKSE100KSE30NBPPGINITPGI
429,TRIPF,Tri-Pack Films Ltd.,MISCELLANEOUS,NC,"38,800,000","7,760,000",ALLSHR
430,TRSM,Trust Modaraba,MODARABAS,NC,"29,800,000","23,840,000",ALLSHRKMIALLSHR
431,TSBL,Trust Securities  & Brokerage,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"30,000,000","22,500,000",ALLSHR
432,TSMF,Tri-Star Mutual Fund,CLOSE - END MUTUAL FUND,NC,"5,000,000","3,000,000",ALLSHR
433,TSML,Tandlianwala Sugar Mills Ltd,SUGAR & ALLIED INDUSTRIES,NC,"117,706,300","5,885,315",ALLSHR
434,TSPL,Tri-Star Power Ltd,POWER GENERATION & DISTRIBUTION,NC,"15,000,000","11,817,200",ALLSHR
435,UBDL,United Brands Ltd,MISCELLANEOUS,NC,"91,800,000","4,590,000",ALLSHRKMIALLSHR
436,UBL,United Bank  Ltd. XD,COMMERCIAL BANKS,NC,"1,224,179,688","489,671,875",ALLSHRBKTIKSE100KSE30NBPPGINITPGIPSXDIV20UPP9
437,UBLPETF,UBL Pakistan Enterprise.,EXCHANGE TRADED FUNDS,NC,"2,570,000","2,580,000",
438,UCAPM,Unicap Modaraba,MODARABAS,NC,"23,640,000","15,366,000",ALLSHRKMIALLSHR
439,UDPL,United Distrbutors Pakistan Ltd,MISCELLANEOUS,NC,"35,271,134","5,290,670",ALLSHRKMIALLSHR
440,UNIC,United Insurance Co. of Pakistan.,INSURANCE,NC,"346,750,000","52,012,500",ALLSHR
441,UNITY,Unity Foods Limited.,FOOD & PERSONAL CARE PRODUCTS,NC,"1,194,050,000","417,917,500",ACIALLSHRJSMFIKMI30KMIALLSHRKSE100KSE30
442,UPFL,Unilever Pakistan Foods Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"6,369,932","306,250",ALLSHRKSE100
443,UVIC,Universal Insurance Co. Ltd.,INSURANCE,NC,"50,000,000","5,000,000",ALLSHR
