,Symbol,Name,Sector,Clearing Type,Shares,Free Float,Listed In
72,BRR,B.R.R Guardian Mod.,MODARABAS,NC,"94,998,489","52,249,169",ALLSHRKMIALLSHR
73,BTL,Blessed Textiles Limited.,TEXTILE COMPOSITE,NC,"6,432,000","964,800",ALLSHR
74,BUXL,Buxly Paints Ltd,CHEMICAL,NC,"1,440,000","576,000",ALLSHRKMIALLSHR
75,BWCL,Bestway Cement Ltd.,CEMENT,NC,"596,252,783","29,812,639",ALLSHRKMIALLSHR
76,BWHL,Baluchistan Wheels Ltd.,AUTOMOBILE PARTS & ACCESSORIES,NC,"13,334,250","7,333,838",ALLSHRKMIALLSHR
77,CASH,CALCORP Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"10,744,413","1,611,662",ALLSHR
78,CCM,Crescent Cotton Mills Ltd.,TEXTILE SPINNING,NC,"22,660,123","10,197,057",ALLSHRKMIALLSHR
79,CENI,Century Insurance Co. Ltd.,INSURANCE,NC,"55,326,483","13,831,621",ALLSHR
80,CEPB,Century Paper & Board Mills.,PAPER & BOARD,NC,"401,712,926","140,599,524",ALLSHRKMIALLSHRKSE100
81,CFL,Crescent Fibres Ltd.,TEXTILE SPINNING,NC,"12,417,876","3,104,469",ALLSHRKMIALLSHR
82,CHAS,Chashma Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"28,692,000","4,303,800",ALLSHRKMIALLSHR
83,CHCC,Cherat Cement Co. Ltd.,CEMENT,NC,"194,295,038","116,577,023",ACIALLSHRKMI30KMIALLSHRKSE100
84,CLOV,Clover Pakistan Ltd,FOOD & PERSONAL CARE PRODUCTS,NC,"31,143,059","15,571,530",ALLSHRKMIALLSHR
85,CLVL,Cordoba Log. & Vent. Ltd.,TRANSPORT,NC,"72,105,200","14,421,040",ALLSHRKMIALLSHR
86,CNERGY,Cnergyico PK Ltd,REFINERY,NC,"5,493,447,571","1,648,034,271",ALLSHRKSE100
87,COLG,Colgate-Palmolive (Pakistan),CHEMICAL,NC,"242,773,288","24,277,327",ALLSHRKMIALLSHRKSE100
88,CPHL,Citi Pharma Ltd.,PHARMACEUTICALS,NC,"228,461,200","79,961,420",ACIALLSHRKMIALLSHR
89,CPPL,Cherat Packaging Ltd.,PAPER & BOARD,NC,"49,095,396","29,457,236",ALLSHR
90,CRTM,Crescent Textile Mills Ltd.,TEXTILE COMPOSITE,NC,"100,000,000","55,000,000",ALLSHRKMIALLSHR
91,CSAP,Crescent Steel & Allied Products,ENGINEERING,NC,"77,632,491","34,934,621",ALLSHRKMIALLSHR
92,CSIL,Crescent Star Insurance Ltd,INSURANCE,NC,"107,695,041","106,198,638",ALLSHR
93,CTM,Colony Textile Mills Ltd,TEXTILE SPINNING,NC,"498,010,000","49,800,996",ALLSHRKMIALLSHR
94,CYAN,Cyan Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"61,558,963","9,233,866",ALLSHR
95,DAAG,Data Agro Ltd,CHEMICAL,NC,"4,000,000","800,000",ALLSHRKMIALLSHR
